1002649,Rick,Lincoln,304-322-3358,268-58-7414,"432 Reynolds rd.",2,22690
1006091,Earl,Lee,3040488606,230041199,"95 Hodges Way",1,11079
1012235,Brandon,Adams,"304 986 5604","280 86 7445","955 Smith road",3,36618
1014417,Janice,Knight,304-841-8571,301-28-4547,"1e White Drive",4,48424
1015126,Earl,Wilson,[304]4649856,240426202,"43 Kirk Way",2,20782
1018462,Robert,Kirk,3046206339,262500548,"46 Pierson Blvd",2,25296
1025792,Kimberly,Walsh,(304)-734-8661,275-54-6391,"57 Gomez Blvd",1,11255
1026056,Jack,Lucas,"304 693 0482","231 47 1434","18 Rocky Circle",3,38688
1026224,Allen,Mann,3049846906,291559109,"64 Lucas Blvd",2,20740
1028536,Donald,Hodges,3044930528,70790884,"1 Rice rd.",2,25134
1037670,Luke,Petry,3042762877,249280209,"6 Sunset Way",3,32088
1043242,Albert,Mooney,3046436417,273664101,"38 Kennedy rd.",4,47736
1050107,Katherine,Phelps,[304]-378-2110,206-47-0462,"6886 Walsh rd.",2,23510
1079023,Christopher,Lucas,304-399-3177,221-49-6101,"13 Browning Street",1,10984
1079371,Ryan,Morrison,304-463-8856,216-05-3259,"1 Adams Avenue",2,22950
1089294,Allen,Kirk,"304 395 8713","265 24 8139","1 Laurel Street",2,20188
1099692,Jessica,Gomez,[304]7815543,289719949,"64 Jones lane",4,43996
1105385,Evan,Miller,"[304] 973 7685","159 86 7911","344 Wilson Dr",2,24244
1107037,Ryan,Morrison,(304)3937365,238878475,"233 McDougal Circle",2,20202
1107539,Leah,Gomez,[304]-127-7579,238-86-9201,"1b Jefferson Dr.",4,42320
1109896,Erica,Harper,3049628904,246906702,"6 Childers Ave.",3,34914
1109921,Christina,Lincoln,3047165721,242641494,"2 Johnson Way",4,46060
1113951,Juliana,Black,3044074530,248824806,"393 Taylor Way",1,11493
1119591,Bruce,Morrison,"(304) 791 5213","200 11 5484","6323 Davis Dr.",1,11307
1120008,Allen,Lucas,"304 233 2751","261 08 5488","44 Woodland Ave.",5,64095
1124586,William,Stout,304-871-0382,273-63-4963,"7 White Street",2,25580
1130315,Evan,Walsh,[304]-963-6903,205-73-2471,"46 Carlin Drive",4,45220
1139672,Cody,Stout,304-612-7633,278-02-3614,"699 Hodges Ave.",2,20900
1139757,Gerald,Johnson,(304)-910-1318,267-44-4507,"3679 Oak Blvd",3,38568
1164606,Joshua,Hodges,"[304] 085 8736","428 87 4807","71 Weinstein Lake",3,36867
1166812,Jonathan,Reynolds,[304]-437-7097,253-09-0707,"432b Kirk Dr",2,25300
1178260,Craig,Anderson,304-848-6315,296-57-6185,"638 White lane",1,12778
1179742,Peggy,Jefferson,"304 970 3526","234 97 6546","97 Wallace Avenue",2,23622
1186054,Amber,McDougal,"(304) 217 6962","227 47 6788","82 Meadow Street",2,24662
1187068,Luke,Hodges,304-734-6582,230-32-7459,"153 Bowe Drive",5,57360
1189484,Gordon,Phelps,(304)1432218,256267806,"2 Hickory Blvd",2,21654
1193727,Robert,Schmidt,304-132-9470,238-93-6266,"9 Bluegrass ave",2,23258
1194486,Luke,Jefferson,[304]-237-6585,282-67-9774,"49 Patterson lane",2,22424
1237437,Jack,Phelps,3049433646,257584569,"47 Cherry ave",2,20032
1248402,Bruce,Mooney,"(304) 166 8284","238 87 1054","7b Woodland rd",3,36060
1250212,Robert,Gomez,(304)-414-3014,266-20-0567,"17 Bowe Dr",2,20024
1269923,Gabriel,Pierson,(304)0919311,279110606,"633 Wilson rd.",2,21330
1271252,Rachel,Patterson,3049445819,211138052,"4b Walsh Ave.",1,10710
1275581,Theresa,Browning,(304)7908298,221980530,"157 Rice Dr",1,11514
1287662,Thomas,Carter,"304 168 6195","286 96 7264","923 Morrison Circle",2,22702
1289382,Jack,Stout,[304]-949-0512,259-79-5278,"5 Taylor Way",2,21316
1294307,Nicholas,Washington,(304)3491108,277758339,"17 Patterson Ave.",3,38652
1297586,Juliana,Hatfield,"(304) 078 4846","247 23 3898","94 Cohen Blvd",2,23686
1308930,Allen,Taylor,(304)1085837,286378638,"30 Patterson Ave.",1,10188
1312016,Steven,Phelps,"(304) 991 1153","242 00 8953","9553 Sunset Blvd",3,36255
1312801,Stephen,Washington,(304)-978-5324,295-44-3230,"66 Stout rd.",2,24140
1324374,Jack,Foreman,(304)6189062,239818038,"333 Sunset road",3,34077
1326994,Aaron,McDougal,"304 374 9313","045 01 0046","711a Phelps Lake",3,35886
1335066,Juliana,Bowe,304-967-6343,780-74-6206,"727 Spruce road",2,20162
1357732,Alexander,Shannonn,"(304) 169 7728","238 94 5813","227 Oak Street",2,21610
1358642,Leah,Miller,(304)-213-3217,241-19-8535,"565 Pierson Dr.",1,11908
1361159,Matthew,Mooney,[304]-798-6481,332-11-6342,"249 Hillcrest Way",2,23200
1362007,Amber,Stone,(304)2868890,10384052,"3 Ash lane",2,21152
1363340,Rachel,Kirk,(304)7828506,200434059,"125c Poplar Drive",2,20394
1363399,Brandon,Wilson,"304 858 6037","284 79 3680","154 Petry Avenue",2,20476
1383993,Lucy,Patterson,304-689-7981,212-53-4249,"30586 Reynolds Street",2,23326
1393765,Kendall,McDougal,(304)-906-3146,251-90-8745,"74 Harper Lake",1,11211
1396146,Sarah,Shannonn,3045500153,277842658,"1 Rice st.",2,23502
1397239,Frederick,McDonald,(304)2157618,224821274,"434 Anderson Dr",2,25782
1404522,Samantha,Gomez,"(304) 229 8506","205 83 0547","765 Meadow Way",2,20982
1406078,Stephen,Phelps,304-414-1361,210-79-4098,"677 Washington Blvd",2,21598
1413435,Gerald,Jefferson,"[304] 183 1948","476 29 2495","634 White Dr.",3,31179
1426721,Juliana,Washington,"304 261 9978","235 43 1309","7 Bush rd",1,12012
1433572,Justin,Stout,"[304] 372 8912","293 72 2089","207 Browning Dr",4,45588
1434005,Travis,Cohen,[304]1247732,251973630,"58 Hatfield Ave.",4,46992
1435333,Lucy,Cohen,"[304] 648 3811","282 02 5265","40694 Center road",5,55505
1445685,Albert,Rice,"[304] 255 4956","225 05 9000","1b Smith Avenue",2,24694
1446327,Gary,Black,(304)8056486,247991566,"123 McCoy Blvd",4,44964
1448258,Albert,Lucas,3049819264,257642712,"13f Mooney st.",2,23202
1448608,Christian,Morton,3040172854,669713144,"6 Morton Blvd",4,45080
1458986,Tabitha,Johnson,3043090751,217600537,"506 Weinstein Way",2,20820
1460346,Paul,Patterson,(304)4167590,759705785,"921 Bluegrass st.",2,24676
1464807,Peggy,Garnes,304-745-9676,284-90-4964,"89 Pierson Dr.",1,12813
1469165,Stephen,Walker,"304 941 3648","225 25 3535","380 Jefferson Dr.",3,34236
1473490,Amber,Smith,3048148874,223763706,"42 Hanson Street",2,22706
1480944,Gordon,Mooney,"304 292 5159","235 35 1060","44853 Pierson Blvd",2,24534
1484215,Earl,Stout,304-407-6987,225-55-5954,"50 Gomez Dr",4,48712
1484957,Gerald,Lincoln,"(304) 502 5459","262 92 5452","8 McDonald Dr",2,23398
1498726,Martin,Schmidt,"[304] 368 9772","280 67 4385","94 Washington Street",3,38628
1506650,Alexander,Carlin,"[304] 615 9217","204 99 2887","6339 Woodland Drive",2,22008
1506892,Steve,Mooney,(304)-056-7348,273-90-9867,"648 Ellis Dr",2,25046
1510146,Erica,Patterson,"304 067 4198","279 52 9988","19 Carter rd",2,25352
1510394,Gregory,Stout,"304 046 8178","444 91 3326","1 Ellis Lake",1,10860
1511461,Kendall,McDonald,"(304) 457 9240","207 96 1284","47 Bluegrass Ave.",2,25976
1514813,Ryan,Washington,[304]3503209,259769359,"6 Walnut Drive",2,25252
1516210,Leah,Johnson,[304]-624-7015,232-08-1499,"103 Pine st.",2,22916
1527142,Matthew,McDonald,304-787-1597,221-60-7500,"4079 McDougal Drive",2,22580
1528430,Jonathan,Bush,(304)-298-6952,664-51-8963,"5 McDonald Avenue",2,22436
1528603,Tabitha,Walsh,3049291761,286174521,"8 Rice Dr.",1,12423
1550285,Donald,Patterson,3041218478,200893218,"46 Hatfield rd",4,45356
1557801,Theresa,Wallace,3041678649,426364444,"9078 Phelps rd",1,12372
1563491,Jessica,Browning,304-179-4027,291-66-7430,"48 Lucas rd",2,23496
1567925,Rick,Black,[304]7043844,278144249,"2036 Childers Way",1,11948
1573713,Amber,Wilson,3046818872,246465656,"93 Jones Street",4,43924
1575014,Matthew,Wallace,"[304] 516 9593","260 54 1989","72a Carter Drive",2,22304
1587563,Erica,Walker,[304]-723-4053,268-00-6250,"230 Pine st.",2,23168
1604081,Allen,McDougal,304-043-3567,214-18-4586,"27 Jefferson lane",1,12450
1608450,Erica,Weinstein,"304 410 1691","788 82 1555","1 Patterson Lake",4,43076
1612167,Jennifer,Lucas,(304)-113-7350,228-46-3234,"60525 Smith Blvd",2,22864
1618553,Gordon,Stout,3046560825,716325698,"489 McDonald Dr.",5,62485
1625669,Rick,Ellis,304-290-6823,814-40-9665,"5 Harper Circle",5,60590
1627741,Craig,McCoy,(304)2456198,221569869,"70588 Bluegrass ave",2,24004
1640602,Anthony,Kennedy,[304]-324-6700,213-94-7841,"3 Pine Avenue",3,32850
1642609,Steven,Taylor,"304 031 5952","209 89 5654","853 Stout rd.",4,40764
1643705,Phllip,Weinstein,(304)8602599,237332310,"7 Davis lane",4,48308
1675051,Raymond,Walsh,"304 940 9444","216 25 4552","591 Patterson Drive",1,11186
1683556,Amber,Anderson,"(304) 155 2951","271 22 9139","29094 Lee Lake",1,12313
1687733,Justin,Harper,"304 498 1576","292 38 2477","7884 Stout road",1,12451
1690043,Robert,Ellis,3048147022,205554082,"149 Carter Ave.",3,35733
1699072,Leah,Phelps,"[304] 434 1384","590 93 0420","998 Birch Street",2,22026
1699347,Anthony,Carter,"304 557 4134","244 03 0046","697 Hodges Street",3,32781
1701709,Bruce,Taylor,[304]-907-1303,082-24-5247,"9027 Davis ave",3,30501
1705105,Leah,Taylor,304-293-4196,296-08-7582,"65 Bush Lake",4,42480
1708829,Lucy,Hatfield,[304]-262-6149,264-61-3034,"7 Harper ave",2,22818
1709897,Gerald,White,(304)-533-4634,257-00-8557,"2b Hill lane",2,24126
1723492,Albert,Anderson,3045359885,291239351,"66 Patterson Way",2,25910
1742267,Anthony,Adams,"304 456 6237","263 46 6177","219 Foreman ave",2,21602
1747305,Steven,Weinstein,304-911-6357,263-79-0678,"1 Hodges rd.",2,21532
1750647,Theresa,Davis,304-357-6210,141-65-1688,"15 Washington rd.",1,12488
1757390,Anthony,Jefferson,304-483-7919,250-78-3178,"586 Bush Blvd",1,10159
1762061,Allen,Lee,[304]-024-1255,247-44-7904,"6 Wilson Blvd",4,41408
1764465,Thomas,Patterson,"304 176 9853","244 15 3445","747 Carlin lane",2,20408
1769047,Christina,Hatfield,"(304) 023 6959","243 06 9663","4648 Carter Dr.",2,23884
1770405,Gerald,Anderson,(304)4962610,239759161,"2b Gomez Street",1,10789
1774283,Nicholas,Hatfield,304-261-9447,220-24-5854,"3914 Walker rd.",1,10037
1787382,Christopher,Lucas,(304)5493556,245532827,"23 Lincoln rd",4,44744
1793426,Gerald,Shannonn,"304 432 6887","232 04 6484","1 Adams road",3,35235
1801876,Nicholas,Morton,(304)3307332,237303933,"3 Gomez rd",2,22970
1805098,Gregory,Black,[304]-618-2860,231-57-0639,"24 Hodges Lake",4,46096
1814341,Theresa,Childers,3042523795,236508709,"8 Stone Street",3,38871
1817068,Katherine,Smith,"(304) 508 1571","063 95 5797","607 McDonald lane",2,23502
1818222,Cody,Browning,(304)6179514,241171780,"54e Weinstein Circle",2,23442
1821090,Janice,Stone,"(304) 379 1032","216 71 7636","1437 Jones Drive",2,22446
1823195,Peggy,Kennedy,[304]5448939,237766473,"757 Stone Circle",4,43272
1826574,Nicholas,McDonald,"304 477 2734","274 52 8969","43 Knight rd.",4,51836
1826875,Erica,Schmidt,304-090-5337,220-94-7986,"3 Smith road",4,49280
1826877,Katherine,Weinstein,3044532256,122714503,"38 Carlin lane",1,12431
1827097,Donald,Wallace,304-452-0937,262-03-6167,"831 Rocky rd.",3,38334
1845429,Robert,Jefferson,"304 688 3838","229 01 0047","51c Sunset Avenue",2,22056
1847676,Theresa,McCoy,(304)9391824,257791216,"671 Gomez road",4,51940
1852305,Jack,Childers,"(304) 276 8212","403 08 8387","55e Morton Blvd",4,42388
1864575,Travis,Lincoln,"304 242 1586","371 73 7692","23d Kennedy Dr",4,43956
1866088,Peggy,Lincoln,"[304] 584 9567","295 16 9138","363 Anderson rd.",4,46320
1874694,Gabriel,Adams,(304)-734-0926,227-57-7074,"1 Spruce Way",1,11787
1884807,Kendall,Browning,"(304) 939 1029","736 25 0288","3698 Ash Street",3,32313
1905902,Steven,McDonald,(304)1724642,233872113,"4259 White rd",5,60195
1912608,Steven,Morrison,"(304) 111 5245","211 05 5072","47 Jefferson rd",2,25110
1920010,Nicholas,Jones,"304 912 1246","251 83 4298","4 Wallace Dr.",2,25204
1932398,Erica,Schmidt,"[304] 850 5968","299 62 4546","232 Schmidt st.",3,30972
1933915,Steven,Stone,(304)-876-1184,295-97-1791,"8 Maple rd.",2,21454
1938084,Steven,Kennedy,304-283-8199,290-27-8043,"927 Childers Way",2,20608
1941110,Jonathan,Stone,3043819919,240934477,"733 Laurel Drive",2,23910
1946944,Matthew,Lee,"(304) 401 1157","212 24 5382","17 Browning Ave.",3,31428
1949310,Ryan,Lincoln,(304)2587862,296093357,"912 Cohen Drive",2,20126
1966540,Kendall,Smith,[304]-468-3497,224-16-9653,"13 Walsh Blvd",2,20256
1977882,Luke,Hodges,3049714162,284395135,"4 Shannonn ave",4,41944
1983097,Christian,Wallace,"[304] 389 5617","508 59 2122","4696 Stone Dr",4,45900
1996050,Paul,Jefferson,3041698386,245417658,"538 Adams st.",2,25420
2000408,Christian,Shannonn,"304 154 3874","249 79 9995","4 Reynolds road",2,23774
2002071,Thomas,Walker,304-578-6794,250-91-4239,"93 Smith Dr.",2,22758
2008808,Jack,Browning,304-108-2100,226-81-2568,"1a Rice Dr",3,31695
2015894,Cody,Kennedy,304-296-0923,229-70-8678,"3322 Ellis lane",1,11908
2016326,Amber,Carlin,3042437429,247229126,"37 Knight Way",1,10699
2017613,Luke,Lee,[304]4285353,244247842,"4269 Pine rd.",3,31464
2029938,Thomas,Weinstein,304-108-2802,290-18-3689,"54 Phelps Blvd",2,23352
2035211,Jessica,Johnson,"304 562 1276","281 39 3210","75b Carlin Avenue",2,21660
2035296,Gordon,Walsh,(304)-713-9502,211-11-3672,"2503 Miller lane",4,47188
2035485,Juliana,Wallace,304-802-9242,035-11-9131,"2c Childers Dr.",1,11868
2050374,Albert,McCoy,[304]5038336,216586357,"65 Pierson Dr.",2,24450
2052367,Jessica,Lee,304-393-6722,748-01-2606,"1 Stout Street",2,22156
2060331,Alexander,Foreman,3046117688,274660951,"714a Hodges Circle",4,46768
2071063,Kimberly,Mooney,[304]-560-9139,899-04-1638,"163 Jefferson Way",2,22632
2081399,Alexander,Phelps,"(304) 297 6599","282 50 5132","87 White road",2,21614
2081691,Joshua,Petry,"[304] 314 3467","261 95 3325","425 Miller Ave.",2,20984
2086028,Bruce,Browning,304-811-1586,204-25-1935,"164 Jefferson Lake",2,23348
2097743,Donald,Jones,304-191-9412,235-89-9360,"976 Pine Dr.",2,22736
2098465,Earl,Kennedy,304-496-0546,221-91-2665,"56679 Locust lane",2,21412
2106580,Albert,Knight,3042674456,240240093,"576 Stone Street",5,61545
2112228,Steven,Petry,"304 092 3028","652 92 0823","7 Mooney Way",2,22506
2115992,Jessica,Hatfield,3047461543,222754928,"3 Hanson road",2,25140
